word,is_living,fits_shoebox
ABDOMEN,no,no
ACID,no,yes
ACORN,no,yes
ACROBAT,yes,no
ACTOR,yes,no
ACTRESS,yes,no
ADOLESCENT,yes,no
ADULT,yes,no
AFRICA,no,no
AGENT,yes,no
AIRCRAFT,no,no
AIRPLANE,no,no
AIRPORT,no,no
ALBUM,no,yes
ALLEY,no,no
ALLIGATOR,yes,no
ALMANAC,no,yes
ALMOND,no,yes
AMBULANCE,no,no
ANCESTOR,yes,no
ANCHOR,no,no
ANGEL,ambiguous,no
ANIMAL,yes,ambiguous
ANKLE,no,no
ANT,yes,yes
ANTEATER,yes,no
ANTELOPE,yes,no
ANTENNA,no,yes
ANTLER,no,ambiguous
APARTMENT,no,no
APE,yes,no
APPENDAGE,no,ambiguous
APPLE,no,yes
APPLICATION,no,yes
APRON,no,yes
ARCHITECT,yes,no
ARENA,no,no
ARM,no,no
ARMY,no,no
ARROW,no,yes
ARTERY,no,no
ARTICLE,no,yes
ARTIST,yes,no
ASH,no,yes
ASHTRAY,no,yes
ASIA,no,no
ASPIRIN,no,yes
ASSISTANT,yes,no
ASSOCIATE,yes,no
ASTEROID,no,no
ASTRONAUT,yes,no
ATHLETE,yes,no
ATLAS,no,yes
ATMOSPHERE,no,no
ATOM,no,yes
ATTIC,no,no
ATTIRE,no,ambiguous
ATTORNEY,yes,no
AUDIENCE,no,no
AUNT,yes,no
AUTHOR,yes,no
AUTOMOBILE,no,no
AWARD,no,yes
BABY,yes,no
BACK,no,no
BACKBONE,no,no
BACON,no,yes
BADGE,no,yes
BAG,no,yes
BAIT,no,yes
BAKER,yes,no
BALCONY,no,no
BALL,no,yes
BALLERINA,yes,no
BALLOON,no,yes
BALLOT,no,yes
BANANA,no,yes
BAND,no,yes
BANDAGE,no,yes
BANDANNA,no,yes
BANDIT,yes,no
BANJO,no,no
BANK,no,no
BANKER,yes,no
BANNER,no,no
BANQUET,no,no
BARK,no,yes
BARLEY,no,yes
BARN,no,no
BARRACUDA,yes,no
BARREL,no,no
BARTENDER,yes,no
BASEBALL,no,yes
BASEMENT,no,no
BASKET,no,ambiguous
BASKETBALL,no,ambiguous
BASSINET,no,no
BATH,no,no
BATHROOM,no,no
BATHTUB,no,no
BATTERY,no,yes
BAY,no,no
BEAD,no,yes
BEAKER,no,yes
BEAN,no,yes
BEAR,yes,no
BEARD,no,no
BEAST,yes,ambiguous
BEAVER,yes,no
BED,no,no
BEDROOM,no,no
BEE,yes,yes
BEEF,no,yes
BEER,no,yes
BEET,no,yes
BEETLE,yes,yes
BEGGAR,yes,no
BELL,no,yes
BELLY,no,no
BELT,no,yes
BENCH,no,no
BERRY,no,yes
BEVERAGE,no,yes
BIBLE,no,yes
BIKE,no,no
BILL,no,yes
BINDER,no,yes
BIOLOGIST,yes,no
BIRD,yes,yes
BISCUIT,no,yes
BISON,yes,no
BLACKBERRY,no,yes
BLACKBOARD,no,no
BLADE,no,yes
BLANKET,no,no
BLENDER,no,ambiguous
BLOCKADE,no,no
BLOSSOM,no,yes
BLOUSE,no,no
BLUEBERRY,no,yes
BLUEJAY,yes,yes
BLUEPRINT,no,yes
BOARD,no,no
BOAT,no,no
BODY,no,no
BOLT,no,yes
BOMB,no,ambiguous
BONE,no,yes
BOOK,no,yes
BOOT,no,yes
BOOTH,no,no
BOSS,yes,no
BOTTLE,no,yes
BOUILLON,no,yes
BOULDER,no,no
BOULEVARD,no,no
BOUQUET,no,ambiguous
BOWL,no,yes
BOX,no,yes
BOXER,yes,no
BOY,yes,no
BOYFRIEND,yes,no
BRACELET,no,yes
BRACES,no,yes
BRAIN,no,yes
BRAKE,no,yes
BRAN,no,yes
BRANCH,no,no
BRANDY,no,yes
BREAD,no,yes
BREAST,no,no
BRICK,no,yes
BRIDE,yes,no
BRIDGE,no,no
BRIEFCASE,no,ambiguous
BROCCOLI,no,yes
BROOK,no,no
BROOM,no,no
BROTHER,yes,no
BRUISE,no,ambiguous
BRUNETTE,ambiguous,no
BRUSH,no,yes
BUBBLE,no,yes
BUCKET,no,ambiguous
BUCKLE,no,yes
BUFFALO,yes,no
BUG,yes,yes
BUGGY,no,no
BUGLE,no,ambiguous
BUILDER,yes,no
BUILDING,no,no
BULB,no,yes
BULL,yes,no
BULLET,no,yes
BULLETIN,no,yes
BULLY,yes,no
BUN,no,yes
BUNNY,yes,yes
BUREAU,no,no
BURGLAR,yes,no
BUS,no,no
BUSH,yes,no
BUTCHER,yes,no
BUTLER,yes,no
BUTTER,no,yes
BUTTERFLY,yes,yes
BUTTON,no,yes
BUYER,yes,no
CAB,no,no
CABBAGE,no,yes
CABIN,no,no
CABINET,no,no
CABLE,no,yes
CABOOSE,no,no
CACTUS,yes,yes
CAFE,no,no
CAFETERIA,no,no
CAGE,no,ambiguous
CAKE,no,ambiguous
CALCULATOR,no,yes
CALENDAR,no,yes
CALF,yes,no
CAMEL,yes,no
CAMERA,no,yes
CAN,no,yes
CANAL,no,no
CANARY,yes,yes
CANDIDATE,yes,no
CANDLE,no,yes
CANDY,no,yes
CANE,no,no
CANNON,no,no
CANOE,no,no
CANVAS,no,ambiguous
CANYON,no,no
CAP,no,yes
CAPE,no,ambiguous
CAPITAL,no,no
CAPTAIN,yes,no
CAPTIVE,yes,no
CAR,no,no
CARAVAN,no,no
CARD,no,yes
CARDINAL,yes,yes
CARNIVAL,no,no
CARPENTER,yes,no
CARPET,no,no
CARRIAGE,no,no
CARROT,no,yes
CART,no,no
CARTON,no,yes
CASH,no,yes
CASHEW,no,yes
CASHIER,yes,no
CASKET,no,no
CASTLE,no,no
CAT,yes,no
CATCHER,yes,no
CATERPILLAR,yes,yes
CATHEDRAL,no,no
CATTLE,yes,no
CAULIFLOWER,no,yes
CAVE,no,no
CAVITY,no,no
CEILING,no,no
CELERY,no,yes
CELLAR,no,no
CELLO,no,no
CEMETERY,no,no
CENT,no,yes
CERAMICS,no,yes
CEREAL,no,yes
CHAIN,no,yes
CHAIR,no,no
CHAIRPERSON,yes,no
CHALK,no,yes
CHAMBER,no,no
CHAMPAGNE,no,yes
CHAMPION,yes,no
CHAPEL,no,no
CHARCOAL,no,yes
CHART,no,yes
CHAUFFEUR,yes,no
CHECK,no,yes
CHECKERS,no,yes
CHEDDAR,no,yes
CHEEK,no,no
CHEERLEADER,yes,no
CHEESE,no,yes
CHEF,yes,no
CHEMICAL,no,yes
CHEMIST,yes,no
CHERRY,no,yes
CHESS,no,yes
CHEST,no,no
CHICK,yes,yes
CHICKEN,yes,ambiguous
CHIEF,yes,no
CHILD,yes,no
CHIME,no,yes
CHIMNEY,no,no
CHIMPANZEE,yes,no
CHIP,no,yes
CHIPMUNK,yes,yes
CHISEL,no,yes
CHOCOLATE,no,yes
CHURCH,no,no
CIGAR,no,yes
CIGARETTE,no,yes
CINNAMON,no,yes
CIRCUS,no,no
CITIZEN,yes,no
CITRUS,no,yes
CITY,no,no
CLAM,yes,yes
CLAMP,no,yes
CLARINET,no,no
CLASS,no,no
CLAW,no,yes
CLAY,no,yes
CLERK,yes,no
CLIFF,no,no
CLIMBER,yes,no
CLIPPERS,no,yes
CLOCK,no,yes
CLOSET,no,no
CLOTHES,no,no
CLOUD,no,no
CLOVE,no,yes
CLOWN,yes,no
COACH,ambiguous,no
COAL,no,yes
COAT,no,no
COB,no,yes
COBBLER,yes,no
COBRA,yes,no
COBWEB,no,yes
COCKTAIL,no,yes
